YY,MM,DD,DISC 
2018,06,12,268
2018,06,13,235
2018,06,14,208
2018,06,15,211
2018,06,16,691
2018,06,17,14200
2018,06,18,17900
2018,06,19,6790
2018,06,20,3810
2018,06,21,1980
2018,06,22,1370
2018,06,23,1030
2018,06,24,793
2018,06,25,619
2018,06,26,511
2018,06,27,527
2018,06,28,499
2018,06,29,478
2018,06,30,507
2018,07,01,709
2018,07,02,3280
2018,07,03,2010
2018,07,04,1140
2018,07,05,856
2018,07,06,653
2018,07,07,520
2018,07,08,434
2018,07,09,379
2018,07,10,340
2018,07,11,296
2018,07,12,282
2018,07,13,421
2018,07,14,347
2018,07,15,290
2018,07,16,260
2018,07,17,231
2018,07,18,204
2018,07,19,184
2018,07,20,167
2018,07,21,153
2018,07,22,143
2018,07,23,131
2018,07,24,122
2018,07,25,114
2018,07,26,106
2018,07,27,101
2018,07,28,93.6
2018,07,29,85.9
2018,07,30,80.3
2018,07,31,74.5
2018,08,01,70.9
2018,08,02,70.4
2018,08,03,70.3
2018,08,04,76.8
2018,08,05,91.2
2018,08,06,100
2018,08,07,88.6
2018,08,08,80.4
2018,08,09,80.6
2018,08,10,73.9
2018,08,11,67.2
2018,08,12,63.1
2018,08,13,59.5
2018,08,14,56.5
2018,08,15,54.6
2018,08,16,52.9
2018,08,17,52.3
2018,08,18,50.6
2018,08,19,49.9
2018,08,20,50.0
2018,08,21,51.9
2018,08,22,57.3
2018,08,23,52.3
2018,08,24,63.4
2018,08,25,106
2018,08,26,117
2018,08,27,335
2018,08,28,1310
2018,08,29,1410
2018,08,30,950
2018,08,31,638
2018,09,01,494
2018,09,02,400
2018,09,03,325
2018,09,04,269
2018,09,05,254
2018,09,06,246
2018,09,07,200
2018,09,08,170
2018,09,09,149
2018,09,10,135
2018,09,11,126
2018,09,12,119
2018,09,13,111
2018,09,14,102
2018,09,15,856
2018,09,16,2310
2018,09,17,1490
2018,09,18,889
2018,09,19,642
2018,09,20,535
2018,09,21,971
2018,09,22,920
2018,09,23,625
2018,09,24,504
2018,09,25,525
2018,09,26,552
2018,09,27,452
2018,09,28,407
2018,09,29,345
2018,09,30,298
2018,10,01,271
2018,10,02,251
2018,10,03,243
2018,10,04,269
2018,10,05,307
2018,10,06,434
2018,10,07,411
2018,10,08,376
2018,10,09,931
2018,10,10,3510
2018,10,11,4740
2018,10,12,3020
2018,10,13,1640
2018,10,14,1230
2018,10,15,985
2018,10,16,811
2018,10,17,684
2018,10,18,589
2018,10,19,524
2018,10,20,479
2018,10,21,440
2018,10,22,406
