YY MM DD DISC 
2019 07 26 221
2019 07 27 203
2019 07 28 190
2019 07 29 195
2019 07 30 195
2019 07 31 184
2019 08 01 170
2019 08 02 160
2019 08 03 154
2019 08 04 148
2019 08 05 147
2019 08 06 157
2019 08 07 154
2019 08 08 172
2019 08 09 169
2019 08 10 156
2019 08 11 144
2019 08 12 142
2019 08 13 139
2019 08 14 157
2019 08 15 143
2019 08 16 139
2019 08 17 139
2019 08 18 149
2019 08 19 209
2019 08 20 208
2019 08 21 189
2019 08 22 165
2019 08 23 149
2019 08 24 137
2019 08 25 129
2019 08 26 128
2019 08 27 149
2019 08 28 163
2019 08 29 170
2019 08 30 166
2019 08 31 151
2019 09 01 140
2019 09 02 137
2019 09 03 160
2019 09 04 222
2019 09 05 256
2019 09 06 273
2019 09 07 284
2019 09 08 260
2019 09 09 230
2019 09 10 216
2019 09 11 212
2019 09 12 227
2019 09 13 321
2019 09 14 373
2019 09 15 353
2019 09 16 313
2019 09 17 274
2019 09 18 237
2019 09 19 216
2019 09 20 201
2019 09 21 194
2019 09 22 195
2019 09 23 205
2019 09 24 225
2019 09 25 263
2019 09 26 325
2019 09 27 322
2019 09 28 297
2019 09 29 273
2019 09 30 684
2019 10 01 1800
2019 10 02 1550
2019 10 03 1330
2019 10 04 1320
2019 10 05 1120
2019 10 06 1030
2019 10 07 895
2019 10 08 754
2019 10 09 625
2019 10 10 527
2019 10 11 460
2019 10 12 434
2019 10 13 429
2019 10 14 442
2019 10 15 475
2019 10 16 833
2019 10 17 976
2019 10 18 840
2019 10 19 713
2019 10 20 720
2019 10 21 706
2019 10 22 932
2019 10 23 965
2019 10 24 872
2019 10 25 739
2019 10 26 627
2019 10 27 547
2019 10 28 485
2019 10 29 440
2019 10 30 401
2019 10 31 386
2020 06 01 853
2020 06 02 935
2020 06 03 753
2020 06 04 595
2020 06 05 483
2020 06 06 406
2020 06 07 367
2020 06 08 379
2020 06 09 345
2020 06 10 471
2020 06 11 854
2020 06 12 680
2020 06 13 499
2020 06 14 382
2020 06 15 356
2020 06 16 359
2020 06 17 326
2020 06 18 273
2020 06 19 244
2020 06 20 222
2020 06 21 267
2020 06 22 375
2020 06 23 404
2020 06 24 351
2020 06 25 293
2020 06 26 253
2020 06 27 226
2020 06 28 201
2020 06 29 196
2020 06 30 220
2020 07 01 279
2020 07 02 259
2020 07 03 220
2020 07 04 194
2020 07 05 176
2020 07 06 166
2020 07 07 183
2020 07 08 179
2020 07 09 1230
2020 07 10 1630
2020 07 11 1160
2020 07 12 760
2020 07 13 518
2020 07 14 494
2020 07 15 983
2020 07 16 803
2020 07 17 620
2020 07 18 758
2020 07 19 1580
2020 07 20 1090
2020 07 21 981
2020 07 22 3010
2020 07 23 2050
2020 07 24 1200
2020 07 25 809
2020 07 26 689
2020 07 27 1320
2020 07 28 1130
2020 07 29 809
2020 07 30 588
2020 07 31 451
2020 08 01 371
2020 08 02 369
2020 08 03 375
2020 08 04 314
2020 08 05 268
2020 08 06 237
2020 08 07 209
2020 08 08 836
2020 08 09 1500
2020 08 10 4000
2020 08 11 1880
2020 08 12 1030
2020 08 13 708
2020 08 14 592
2020 08 15 573
2020 08 16 598
2020 08 17 495
2020 08 18 408
2020 08 19 349
2020 08 20 310
2020 08 21 288
2020 08 22 278
2020 08 23 283
2020 08 24 275
2020 08 25 258
2020 08 26 244
2020 08 27 258
2020 08 28 416
2020 08 29 1350
2020 08 30 1110
2020 08 31 847
2020 09 01 791
2020 09 02 637
2020 09 03 513
2020 09 04 426
2020 09 05 358
2020 09 06 310
2020 09 07 278
2020 09 08 258
2020 09 09 244
2020 09 10 229
2020 09 11 217
2020 09 12 215
2020 09 13 242
2020 09 14 252
2020 09 15 235
2020 09 16 223
2020 09 17 205
2020 09 18 191
2020 09 19 180
2020 09 20 174
2020 09 21 165
2020 09 22 165
2020 09 23 165
2020 09 24 199
2020 09 25 418
2020 09 26 681
2020 09 27 767
2020 09 28 734
2020 09 29 646
2020 09 30 534
2020 10 01 462
2020 10 02 512
2020 10 03 511
2020 10 04 455
2020 10 05 402
2020 10 06 367
2020 10 07 341
2020 10 08 322
2020 10 09 300
2020 10 10 293
2020 10 11 282
2020 10 12 349
2020 10 13 866
2020 10 14 817
2020 10 15 807
2020 10 16 794
2020 10 17 690
2020 10 18 606
2020 10 19 537
2020 10 20 485
2020 10 21 472
2020 10 22 511
2020 10 23 767
2020 10 24 1030
2020 10 25 843
2020 10 26 720
2020 10 27 593
2020 10 28 566
2020 10 29 543
2020 10 30 531
2020 10 31 492
2021 06 01 398
2021 06 02 364
2021 06 03 328
2021 06 04 305
2021 06 05 290
2021 06 06 256
2021 06 07 226
2021 06 08 204
2021 06 09 188
2021 06 10 174
2021 06 11 169
2021 06 12 191
2021 06 13 201
2021 06 14 185
2021 06 15 191
2021 06 16 168
