YY,MM,DD,WDIR,WSPD,ATMP
2015.0,7.0,10.0,4.0,1.53,21.0
2015.0,7.0,11.0,4.0,0.92,23.7
2015.0,7.0,12.0,0.0,0.85,22.5
2015.0,7.0,13.0,0.0,0.47,20.9
2015.0,7.0,14.0,1.0,4.23,17.4
2015.0,7.0,15.0,0.0,0.72,14.9
2015.0,7.0,16.0,4.0,1.01,20.5
2015.0,7.0,17.0,0.0,0.73,20.1
2015.0,7.0,18.0,0.0,1.6,23.3
2015.0,7.0,19.0,5.0,3.33,24.2
2015.0,7.0,20.0,7.0,3.6,22.2
2015.0,7.0,21.0,0.0,1.48,19.3
2015.0,7.0,22.0,0.0,1.26,18.8
2015.0,7.0,23.0,4.0,0.9,23.1
2015.0,7.0,24.0,0.0,0.61,22.55
2015.0,7.0,25.0,0.0,0.01,23.3
2015.0,7.0,26.0,0.0,0.0,24.2
2015.0,7.0,27.0,0.0,0.03,22.3
2015.0,7.0,28.0,,,23.7
2015.0,7.0,29.0,,,22.7
2015.0,7.0,30.0,,,21.9
2015.0,7.0,31.0,,,20.0
2015.0,8.0,1.0,,,19.2
2015.0,8.0,2.0,,,20.6
2015.0,8.0,3.0,7.0,4.43,18.6
2015.0,8.0,4.0,1.0,2.06,17.5
2015.0,8.0,5.0,0.0,1.97,16.0
2015.0,8.0,6.0,0.0,0.75,18.5
2015.0,8.0,7.0,0.0,0.66,19.0
2015.0,8.0,8.0,0.0,0.58,18.0
2015.0,8.0,9.0,0.0,1.32,21.1
2015.0,8.0,10.0,0.0,0.01,19.4
2015.0,8.0,11.0,0.0,1.05,18.6
2015.0,8.0,12.0,4.0,2.08,18.5
2015.0,8.0,13.0,4.0,2.44,23.9
2015.0,8.0,14.0,4.0,1.51,25.8
2015.0,8.0,15.0,4.0,1.21,22.8
2015.0,8.0,16.0,5.0,2.85,24.9
2015.0,8.0,17.0,0.0,1.28,19.6
2015.0,8.0,18.0,0.0,3.22,17.8
2015.0,8.0,19.0,0.0,2.72,17.0
2015.0,8.0,20.0,6.0,3.06,14.9
2015.0,8.0,21.0,4.0,3.28,14.5
2015.0,8.0,22.0,4.0,3.65,22.45
2015.0,8.0,23.0,4.0,3.79,16.7
2015.0,8.0,24.0,6.0,3.5,12.9
2015.0,8.0,25.0,6.0,2.64,13.2
2015.0,8.0,26.0,0.0,0.72,15.1
2015.0,8.0,27.0,4.0,1.06,13.4
2015.0,8.0,28.0,4.0,2.23,18.9
2015.0,8.0,29.0,4.0,1.93,19.9
2015.0,8.0,30.0,4.0,2.68,19.3
2015.0,8.0,31.0,4.0,3.11,22.7
2015.0,9.0,1.0,4.0,1.6,23.7
2015.0,9.0,2.0,0.0,0.6,20.1
2015.0,9.0,3.0,0.0,0.59,16.6
2015.0,9.0,4.0,0.0,0.18,15.5
2015.0,9.0,5.0,4.0,1.23,22.8
2015.0,9.0,6.0,4.0,2.89,26.9
2015.0,9.0,7.0,0.0,0.32,20.9
2015.0,9.0,8.0,0.0,0.34,17.5
2015.0,9.0,9.0,4.0,3.08,16.65
