YY,MM,DD,WTMP
2018,7,27,20.57
2018,7,28,20.67
2018,7,29,21.0
2018,7,30,21.45
2018,7,31,21.7
2018,8,1,21.52
2018,8,2,20.76
2018,8,3,20.03
2018,8,4,19.84
2018,8,5,19.6
2018,8,6,19.77
2018,8,7,20.04
2018,8,8,20.49
2018,8,9,21.13
2018,8,10,21.62
2018,8,11,22.07
2018,8,12,22.47
2018,8,13,22.63
2018,8,14,22.5
2018,8,15,22.25
2018,8,16,22.17
2018,8,17,21.93
2018,8,18,21.48
2018,8,19,21.2
2018,8,20,20.89
2018,8,21,20.62
2018,8,22,20.43
2018,8,23,20.34
2018,8,24,20.19
2018,8,25,20.0
2018,8,26,19.81
2018,8,27,19.67
2018,8,28,19.36
2018,8,29,19.04
2018,8,30,18.87
2018,8,31,18.74
2018,9,1,18.7
2018,9,2,18.72
2018,9,3,18.75
2018,9,4,18.75
2018,9,5,18.8
2018,9,6,18.83
2018,9,7,18.73
2018,9,8,18.44
2018,9,9,18.25
2018,9,10,18.24
2018,9,11,18.36
2018,9,12,18.32
2018,9,13,18.33
2018,9,14,18.27
2018,9,15,18.39
2018,9,16,18.49
2018,9,17,18.02
2018,9,18,17.45
2018,9,19,17.29
2018,9,20,17.03
2018,9,21,16.37
2018,9,22,15.89
2018,9,23,15.86
2018,9,24,15.45
2018,9,25,14.75
2018,9,26,14.59
2018,9,27,14.15
2018,9,28,13.82
2018,9,29,13.75
2018,9,30,13.67
2018,10,1,13.55
2018,10,2,13.41
2018,10,3,13.3
2018,10,4,13.28
2018,10,5,13.29
2018,10,6,13.26
2018,10,7,13.21
2018,10,8,12.64
2018,10,9,11.99
2018,10,10,11.34
2018,10,11,10.65
2018,10,12,10.1
2018,10,13,9.86
2018,10,14,9.69
2018,10,15,9.59
2018,10,16,9.63
2018,10,17,9.51
2018,10,18,9.47
2018,10,19,9.44
2018,10,20,9.35
2018,10,21,9.22
2018,10,22,9.14
2018,10,23,9.12
2018,10,24,9.11
2018,10,25,9.15
2018,10,26,9.15
2018,10,27,9.08
2018,10,28,8.97
2018,10,29,8.79
2018,10,30,8.63
2018,10,31,8.57
2019,6,1,10.48
2019,6,2,10.84
2019,6,3,10.93
2019,6,4,11.06
2019,6,5,11.31
2019,6,6,11.53
2019,6,7,12.04
2019,6,8,13.0
2019,6,9,13.77
2019,6,10,14.03
2019,6,11,13.76
2019,6,12,13.71
2019,6,13,14.0
2019,6,14,13.56
2019,6,15,13.14
2019,6,16,13.05
2019,6,17,13.28
2019,6,18,13.89
2019,6,19,14.46
2019,6,20,14.83
2019,6,21,14.85
2019,6,22,14.87
2019,6,23,15.09
2019,6,24,15.59
2019,6,25,15.97
2019,6,26,16.03
2019,6,27,15.84
2019,6,28,15.88
2019,6,29,15.92
2019,6,30,15.84
2019,7,1,16.82
2019,7,2,17.51
2019,7,3,18.59
2019,7,4,19.56
2019,7,5,19.86
2019,7,6,19.43
2019,7,7,19.25
2019,7,8,19.45
2019,7,9,19.91
2019,7,10,20.3
2019,7,11,20.48
2019,7,12,20.63
